id,habitat_element,habitat_element_type,size,location,measure_description,maintenance,combined_with
sandlinse_sandbeet_mindesttiefe_50_cm,Sandlinse / Sandbeet (Mindesttiefe 50 cm),Ausstattungselement,mind. 1 m2 und Tiefe mind. 50 cm,"sonnig, trocken","Als Substrat für die Neuanlage von Sandlinsen sollte feiner, ungewaschener Sand mit Lehmanteilen verwendet werden. Geeignete Sandarten sind Schlemmsand, Schluff, Leitungssand oder bevorzugt Feinsand mit einer Korngröße von 0-4 mm ohne Feinerdeanteil. Die Sandlinse kann in Form einer Anhügelung auf dem Boden aufgetragen werden, oder zum Teil in den Boden integriert werden. Dabei ist jedoch darauf zu achten, zumindest die oberste Bodenschicht und die darauf wachsende Vegetation zu entfernen, um die Verbindung des Lehmanteils mit den bereits vorhandenen Bodenschichten zu begünstigen. Dafür ist der Sand leicht anzufeuchten, schichtweise aufzutragen und festzustampfen, um ein kompaktes Ergebnis zu erhalten. Bei der Anbringung auf einem Gründach enlang statisch tragender Elemente ist auf die Fixierung der Anhügelung zu achten, da auch langfristig die statischen Bedingungen gewährleistet werden müssen.","Die Sandflächen sollten einmal jährlich zwischen Februar und April von aufkommender Vegetation befreit werden, oder wenn 50 % der Fläche mit Vegetation bedeckt sind. In einem frühen Stadium können die Pflanzen noch einfach händisch aus der Erde gezogen werden. Sofern dies nicht mehr möglich ist, da die Pflanzen schon zu stark mit den Wurzeln im Erdboden verankert sind und ein Herausziehen die Gänge der Bienen zerstören würde, sind die Pflanzen lediglich tief abzuschneiden. Sollten größere Pflegemaßnahmen nötig sein, sind diese in der bienenflugfreien Zeit von November bis Mitte Februar vorzunehmen. Dabei dürfen keine Geräte zum Einsatz kommen, die den Boden aufreißen oder tief in die Schichten eindringen. Bei Bedarf können die Flächen auch locker mit Steinen belegt werden, wodurch ein übermäßiges Vegetationsaufkommen reduziert werden kann (wildBee.ch, 2017). Generell dürfen keine Herbizide oder andere chemischen Mittel eingesetzt werden. Auch auf ein Abflammen ist zu verzichten. Wenn Wind- und Regenerosion sowie die Ablagerung von organischem Material die Bodenzusammensetzung so stark verändert haben, dass die Einrichtung von Bienennestern verhindert wird, ist neuer Sand in das Substrat einzubringen.",Locker geschichtete Baumstämme unterschiedlichen Stammdurchmessers (z.B. 2-20 cm)
sandlinse_sandbeet_mindesttiefe_30_cm,Sandlinse / Sandbeet (Mindesttiefe 30 cm),Ausstattungselement,mind. 50 x 50 cm und Tiefe mind. 30 cm,"sonnig, trocken","Für die Neuanlage von Sandlinsen sollten lockere, grabbare Substrate (Kies und Sand) an einem warmen, sonnigen und trockenen Standort aufgetragen werden. Die Sandlinse kann in Form einer Anhügelung auf dem Boden aufgetragen werden, oder zum Teil in den Boden integriert werden. Dabei ist jedoch darauf zu achten, zumindest die oberste Bodenschicht und die darauf wachsende Vegetation zu entfernen, um die Verbindung des aufgetragenen Substrats mit den bereits vorhandenen Bodenschichten zu begünstigen. Die Sandschichten sind dabei schichtweise aufzutragen und festzustampfen.","Sandflächen sollten einmal jährlich im Frühjahr von aufkommender Vegetation gesäubert werden. Diese Arbeit ist bis Mai jeden Jahres abzuschließen, da dann die Eiablage der Zauneidechsen beginnt. Eine erneute Reinigung kann je nach Bedarf zwischen Oktober und November stattfinden. Um die max. Tiefe von 30 cm aufrecht zu erhalten ist bei Bedarf zwischen Oktober und November frischer Sand nachzufüllen.","Locker geschichtete Baumstämme unterschiedlichen Stammdurchmessers (z.B. 2-20 cm); Horizontales Totholz; Benjeshecke; Steinhaufen, Krautsaum; Altgrasstreifen; Ruderalfläche"
breitere_pflasterfugen_aus_sand,Breitere Pflasterfugen aus Sand,Ausstattungselement,Mindestfugenbreite 7 mm,"sonnig, trocken","Gepflasterte Bereiche können selbst bei starker Frequentierung für Wildbienenarten geeignete Nistplätze bereitstellen. Diese nutzen breite Pflasterfugen, um dort ihre 25 bis 60 cm tief reichenden Niströhren anzulegen. Bei sonnenexponierter Lage der Pflasterflächen und Wärmespeicherfähigkeit der Steine entstehen optimale Voraussetzungen zur Besiedelung. Dafür werden Pflastersteinen mit einer Mindestfugenbreite von 7 mm verlegt und mit grobem Sand oder einer Rohboden-Sand-Mischung aufgefüllt (NWZ, 2015; wildBee.ch, 2017; Voskuhl & Zucchi, 2021).","Die Pflasterflächen sind einmal pro Jahr zwischen Februar und April von aufkommenden Jungpflanzen zu befreien. Diese können in einem frühen Stadium noch einfach händisch aus der Erde gezogen werden. Sofern dies nicht mehr möglich ist, da die Pflanzen schon zu stark mit den Wurzeln im Erdboden verankert sind und ein Herausziehen die Gänge der Bienen zerstören würde, sind die Pflanzen lediglich tief abzuschneiden. Sollten größere Pflegemaßnahmen nötig sein, sind diese in der bienenflugfreien Zeit von November bis Mitte Februar vorzunehmen. Auf den Wegen und Plätzen dürfen keine Herbizide oder andere chemische Mittel eingesetzt werden. Auch auf ein Abflammen ist zu verzichten. Aufkommende Vegetation in den Fugen ist händisch zu entfernen oder lediglich tief abzuschneiden (NWZ, 2015; wildBee.ch, 2017; Voskuhl & Zucchi, 2021).",Blumenwiesen; Blumenrasen; (Wild-)Staudenflächen
steinschuettungen_steinhaufen,Steinschüttungen / Steinhaufen,Ausstattungselement,mind. 1 x 2 m; Höhe mind. 50 cm,"sonnig, halbschattig","Ein Steinhaufen ist aus Steinen unterschiedlicher Korngrößen (bis 20-40 cm Durchmesser) in der Nähe von Gras-, Krautsäumen, Gebüschen bzw. Gewässer anzulegen. Sollen Amphibien gefördert werden, ist die Anlage im Halbschatten möglich. Eine Mulde von 80-100 cm Tiefe und 200-300 cm Breite wird mit Sand oder Kies gefüllt und anschließend mit größeren Steinen auf eine Höhe von 50-80 cm aufgefüllt. Der Aushub wird an der Nordseite des Steinhaufens angehäuft (Meyer et al., 2011/2). Als Bepflanzung ist u.a. Mauerpfeffer (Sedum spec.), Zimbelkraut (Cymbalaria muralis), Habichtskraut (Hieracium spec.) und Natternkopf (Echium vulgare) geeignet.","Sofern eine Mahd angrenzender Gras- und Krautbereiche zwingend notwendig ist, ist diese abschnittsweise und alternierend alle 1-2 Jahre vorzunehmen. Dabei ist die Schnitthöhe auf mind. 15 cm zu setzen (Meyer et al., 2011b). Sollten Gehölze um den Steinhaufen auf der sonnenzugenwandten Seite aufkommen, sind diese alle zwei bis drei Jahre zurückzuschneiden, um eine Beschattung des Steinhaufens zu vermeiden. Das Zurückschneiden erfolgt außerhalb der Vegetationszeit zwischen Oktober und Februar (Labiola, 2020).",Altgrasstreifen; Krautsaum; Ruderalfläche; Blumenwiese
trockenmauer,Trockenmauer,Ausstattungselement,Länge mind. 3 m; Höhe mind. 50 cm,"sonnig, halbschattig","Es sollten Steine aus der Region bzw. große Steine, Dachziegel oder Bauschutt verwendet werden, mit denen die Mauer an einem sonnigen Standort aufgebaut wird. Für eine ausreichende Standfestigkeit ist eine Tiefe von ca. 1m (inkl. Hinterfüllung) erforderlich. Die Fugen und Spalten der Mauer sollten für die Tiere zum Teil offen zugänglich sein, während andere Stellen von Kräutern und Gräsern bedeckt werden. Diese Bedeckung mit Vegetation ist essentiell für das Vorkommen vieler Tierarten, die Strukturreichtum in ihrem Habitat bevorzugen. Zwischen die Steine wird Sand eingebracht, es erfolgt also keine Verfugung oder Mörtelverarbeitung, um möglichst viele Spalten und Verstecke für Tiere herzustellen. Ideal ist eine Ausrichtung nach Süd-Ost mit freiem Sonnenlichteinfall, um beispielsweise die für die Zauneidechse wichtigen Sonnenplätze zu schaffen. Zusätzlicher Schutz vor Hauskatzen und anderen Räubern bieten Trockenmauern, die mit Maschendrahtgittern (Maschenweite max. 30x30mm) versehen sind. Diese sind in einem Abstand von 20-30cm über der Trockenmauer anzubringen, um den darunterliegenden Raum für Tiere sicher zu gestalten. In die Mauer können Einbauelemente für Kleinsäuger und Amphibien, Vögel und Insekten (z.B. von SCHWEGLER Vogel- und Naturschutzprodukte) integriert werden, die neben ihrer Funktion als Lebensraum und Versteckmöglichkeiten auch für Beobachtungszwecke genutzt werden können (Ackermann et al. 2016; Triet & Meyer 2016).","Ein Aufwuchs von größeren Gehölzen ist zu verhindern, da diese die Trockenmauer beschatten könnten. Die Elemente sind jährlich zwischen April und September auf etwaige Schäden, ausreichende Fundamentsicherung und weitere Instandhaltungsmaßnahmen zu kontrollieren. Eine Verbrachung der angrenzenden Kraut- und Altgrassäume ist anzustreben. Sollte eine Mahd notwendig sein, ist alternierend mit einigen Wochen Abstand zu mähen und jährlich sind dabei Abschnitte der Säume stehen zu lassen. Es ist auf die zwischen Anfang März bis Mitte Oktober aktiven Zauneidechsen besondere Rücksicht zu nehmen. Auf eine Mulchung ist zu verzichten. Das Schnittgut ist abzutransportieren. Die Bepflanzung darf nicht mit Pestiziden oder Dünger behandelt werden. (Egger 2018; Labioloa 2016; Labiola 2022; Triet & Meyer 2016; Meyer et al. 2011b).",Krautsaum oder Altgrasstreifen in einer Breite von mind. 50 cm; Sandlinse (auf besonnter Seite)
steingabione,Steingabione,Ausstattungselement,Länge mind. 3 m; Höhe mind. 50 cm,"sonnig, halbschattig","Steingabionen bestehen aus mit Bruchsteinen befüllten Drahtkörben. Es ist darauf zu achten, dass bei der Befüllung möglichst viele horizontale Spalten und Hohlräume entstehen (+/- 80% des Füllmaterials Korngröße 20-40 cm; restliches Material Korngröße < 20 cm oder > 40 cm), um notwendige Versteckmöglichkeite zu bilden. Es sind Steine aus der Region zu verwenden, die unterschiedliche Ausformungen aufweisen. Die Maschenweite der Drahtkörbe liegt bei mind. 10 cm. Bei einem gewünschten Bewuchs der Gabione ist Sand, Kies oder Erde vereinzelt auf den Steinen aufzubringen. Zusätzliche Ausstattungselemente wie Insektennistwände, Insektennistschilf oder Insektennisthäuser z.B. von SCHWEGLER, können in die Gabione integriert werden. (Meyer et al. 2011)","Ein Aufwuchs von größeren Gehölzen ist zu verhindern, da diese die Gabione beschatten könnten (Labiola 2016). Die Elemente sind jährlich zwischen April und September auf etwaige Schäden, ausreichende Fundamentsicherung und weitere Instandhaltungsmaßnahmen zu kontrollieren. Eine Verbrachung der angrenzenden Kraut- und Altgrassäume ist anzustreben. Sollte eine Mahd notwendig sein, ist alternierend mit einigen Wochen Abstand zu mähen und jährlich sind dabei Abschnitte der Säume stehen zu lassen. Es ist auf die zwischen Anfang März bis Mitte Oktober aktiven Zauneidechsen besondere Rücksicht zu nehmen. Auf eine Mulchung ist zu verzichten. Das Schnittgut ist abzutransportieren. Die Bepflanzung darf nicht mit Pestiziden oder Dünger behandelt werden. (Egger, 2018; Labiola 2022; Triet & Meyer, 2016; Meyer et al, 2011b).",Krautsaum oder Altgrasstreifen in einer Breite von mind. 50 cm; Sandlinse (auf besonnter Seite)
horizontales_totholz,Horizontales Totholz,Ausstattungselement,,"sonnig, halbschattig und schattig","Es kann Totholz in Form von Baumstämmen, Ästen und/oder Wurzelstöcken verwendet werden. Größere, dicke Ast- und Stammabschnitte bilden die Grundlage des Totholzhaufens und geben Struktur und Stabilität. Kleinere Äste und Zweige werden oben aufgeschichtet. Die Gefahr von Vandalismus, z.B. Entfernung von Totholz, soll minimiert werden, indem vorrangig alte Totholzstämme mit Astanstätzen von erheblicher Größe und Gewicht verwendet werden und dadurch kleinteiligere Schichtungen in geeignetem Maße fixiert werden. Optional kann der Totholzhaufen mit rankenden Pflanzen begrünt werden.","Da sich das Totholz langsam zersetzt, ist der Totholzhaufen regelmäßig im Herbst und Frühjahr mit neuem Material zu bestücken. Dafür kann anfallendes Material des jährlichen Baumschnittes verwendet werden. Ein Aufwuchs von größeren Gehölzen ist zu verhindern, da diese den Totholzhaufen zu sehr beschatten könnten. Bei Begrünung mit Rankpflanzen ist darauf zu achten, dass diese den Totholzhaufen nicht komplett überwuchern. Aufkommende Vegetation um die Haufen ist alternierend in Abschnitten im Spätsommer oder im Winterhalbjahr bei kühlen Temperaturen (möglichst ab Oktober nach der Aktivitätsphase der Zauneidechsen) zu mähen, um unterschiedliche Höhen der Bepflanzung und die Schutzfunktion der Vegetation zu erhalten. Außerdem sind einzelne Vegetationsbereiche an den Strukturen nicht zu mähen und über den Winter stehen zu lassen.",Krautsaum; Altgrasstreifen; Ruderalfläche; Sandlinse
totholzgabione,Totholzgabione,Ausstattungselement,Länge mind. 3 m; Höhe mind. 50 cm,sonnig,"Es werden Drahtgitterkörbe mit unterschiedlich großen Holzabschnitten angefüllt. Um vor allem Wildbienen vielfältige Strukturen anzubieten, können neben Holz auch Lehmziegel mit Bohrlöchern (Lochdurchmesser 6-8 mm; Tiefe 10 cm) und Schilf in die Gabione eingebracht werden. Auch spezielle Einbauelemente für Insekten (z.B. von SCHWEGLER Vogel- und Naturschutzprodukte) können integriert werden, die neben ihrer Funktion als Lebensraum und Versteckmöglichkeiten auch für Beobachtungszwecke genutzt werden können (Stiftung Rheinische Kulturlandschaft).","Da sich das Totholz langsam zersetzt, ist in regelmäßigen Abständen neues Material in die Gabionen zu füllen. Kommt auf den Gabionen selber unerwünschte oder übermäßige Vegetation auf, ist diese nach Bedarf im April zu entfernen. Aufkommende Vegetation um die Gabione herum, ist alternierend in Abschnitten im Spätsommer oder im Winterhalbjahr bei kühlen Temperaturen (möglichst ab Oktober nach der Aktivitätsphase der Zauneidechsen) zu mähen, um unterschiedliche Höhen der Bepflanzung und die Schutzfunktion der Vegetation zu erhalten. Außerdem sind einzelne Vegetationsbereiche an den Strukturen nicht zu mähen und über den Winter stehen zu lassen.",Krautsaum; Altgrasstreifen; Ruderalfläche; Sandlinse (auf besonnter Seite)
benjeshecke_totholzhecke,Benjeshecke / Totholzhecke,Ausstattungselement,"Mindestlänge ca. 3 m; Mindestbreite ca. 50-80 cm, Mindesthöhe ca. 80 cm","sonnig, halbschattig","In einem Abstand von ca. 50 cm werden Pfosten eingeschlagen und in die Zwischenräume Äste und Baum-, Strauch- oder Heckenschnittmaterial aufgeschichtet. Dabei sollten vorwiegend einheimische Laubgehölze verwendet werden.","In die Zwischenräume laufend Äste und Baum-, Strauch- oder Heckenschnittmaterial nachfüllen. Auf schattiger Seite weniger mähen, z.B. 2x pro Jahr",Krautsaum; Altgrasstreifen; Ruderalfläche; Sandlinse
reisig_laubhaufen,Reisig-Laubhaufen,Ausstattungselement,2 x 2 m,schattig,"Der Reisig-Laub-Haufen sollte im Gesamten eine Größe von rund 2 x 2 m aufweisen und an einem schattigen Ort platziert werden, damit überwinternde Tiere im Frühjahr, wenn die Sonne den Haufen erwärmt, nicht zu früh aus dem Winterschlaf erwachen. Damit der Reisig-Laub-Haufen auch vom Igel als Winterquartier genutzt werden kann, sollte er in der Mitte einen Hohlraum von ca. 30 x 30 x 30 cm aufweisen. Die Grundfläche des Hohlraumes sollte etwas erhöht werden, damit sich dort kein Wasser sammeln kann. Dafür eignen sich u.a. Holzhäcksel, Sand-Kies-Mischungen, Brettern oder Äste. Ein geeigneter Hohlraum kann geschaffen werden, indem man z.B. 6 ca. 10 cm dicke Spalthölzer, Äste, Stämme oder Kanthölzer (Länge ca. 100 cm) in 3 Lagen aufgeschichtet. Jeweils zwei Hölzer werden im Abstand von ca. 30 cm parallel nebeneinander gelegt, die nächsten zwei Hölzer im gleichen Abstand quer darüber usw. Der entstandene Hohlraum wird zuletzt mit kürzeren Hölzern abgedeckt. Die Konstruktion wird mit ausreichend Laub bedeckt (ca. 10 Säcke mit je 110l). Je dicker die Laubschicht, desto besser. Beim Aufschichten wird das Laub mit den Händen und den Füßen vom Haufenrand in die Mitte gedrückt, damit der Randbereich etwas kompakter wird. Nach ca. 2 Wochen sollte eine zusätzliche Laubschicht aufgetragen werden. Zuletzt wird der Laubhaufen mit Reisig, Ästen oder Tannenzweigen abgedeckt, damit das Laub nicht davonfliegt. Um dem Igel den Zugang zum Inneren des Laubhaufens zu erleichtern, werden mit einem Pfosten ein oder mehrere Tunnel auf Bodenhöhe Richtung Mitte gebohrt. (igelzentrum.ch)",Reisig-Laubhaufen müssen von Ende Oktober bis Ende März bestehen bleiben und sollten jedes Jahr neu angelegt werden.,Blumenwiesen; (Wild-)Staudenflächen; Krautsaum; Altgrasstreifen; Dichte Sträucher; (Wild-)Hecken; Sträuchergruppen
futterstellen_fuer_voegel,Futterstellen für Vögel,Ausstattungselement,,,"Als Futterspender für Vögel sind insbesondere Futtersäulen (Futtersilos) zu empfehlen, bei denen die Vögel nicht im Futter herumlaufen und es mit Kot verschmutzen können. Auf diese Weise wird die Übertragung und Ausbreitung von Krankheitserregern minimiert. Die Futterspender sollten so gebaut sein bzw. so angebracht werden, dass das darin enthaltene Futter auch bei starkem Regen, Wind oder Schnee nicht durchnässt wird, damit das Futter darin nicht verdirbt. Die Futterstellen sollten an übersichtlichen Stellen, in der Nähe von Bäumen oder Sträuchern angebracht werden, damit die Vögel beim Angriff von Lufträubern, z.B. Sperber, schnell in Deckung fliehen können. Die Futterstellen sollten so angebracht werden, dass sie für Bodenräuber wie z.B. Hauskatzen nicht erreichbar sind. Um eine Nutzung durch Eichhörnchen zu verhindern, können Schutzkäfige aus einem stabilen Drahtgeflecht um die Futtersäulen angebracht werden. Der Schutzkäfig hat über einen ausreichenden Durchmesser zu verfügen, damit Eichhörnchen nicht an die Futtersäule und das darin enthaltene Futter gelangen können. Um zu vermeiden, dass Futter auf den Boden gelangt, können zusätzlich Auffangschalen unter den Futtersilos angebracht werden. Zusätzlich können Meisenknödelhalter für Fettfutterprodukte angebracht werden.
Bei Verwendung von normalen, offenen Futterhäuschen, sollten diese regelmäßig mit heißem Wasser gereinigt werden und täglich nur wenig Futter nachgelegt werden. Um das Reinigen zu erleichtern, kann man kleine herausnehmbare Bretter oder Einlegeböden verwenden. Geeignet sind u.a. rohe, unlackierte 3mm cicke MDF-Platten, die passend auf die Größe des Futterhauses zugeschnitten werden und für die Reinigung leicht entfernt, bzw. ausgetauscht werden können.","Zwischen Anfang November und Ende Februar sollten die Futterspender regelmäßig mit Vogelfutter aufgefüllt werden. Geeignet sind hochwertige Wildvogel-Futtermischungen. Bei Verwendung von Fettfutterprodukten (""Meisenknödel""), ist darauf zu achten, dass diese nicht mit einem Kuntstoffnetz versehen sind, da die Vögel sich darin verheddern und verletzen können. Die Futtersäulen sind vor und nach der Wintersaison zu reinigen. Da das Futter innerhalb der Säule vor Verschmutzung geschützt ist, sind Futtersäulen in der Regel wartungsfrei und eine zusätzliche Reinigung während des Winters ist nicht erforderlich.
Offene Futterstellen sind mind. 1 mal pro Woche zu säubern. Alte Futterreste sollten entfernt werden und das Futterhäuschen mit kochend heißem Wasser und einer Bürste gereinigt werden.",Sträuchern; Bäumen
komposthaufen,Komposthaufen,Ausstattungselement,,"halbschattig, schattig, ruhig","Der Komposthaufen ist so zu gestalten, dass er für Tiere zugänglich ist. Zu empfehlen sind Komposter aus Holzlatten, die in einem Abstand von 5-10 cm angebracht werden. Er sollte direkt auf der Erde aufgestellt werden, damit Regenwürmer und andere Bodenorganismen in den Kompost gelangen können. Vor dem Aufstellen sollte der Boden etwas aufgelockert werden und eine etwa 20 cm dicke Lage aus kleingeschnittenen Zweigen und Ästen auf dem Boden aufgebracht werden, damit sich unter dem Kompost keine Staunässe ausbildet.","Der Kompost sollte 1-2mal im Jahr umgesetzt werden. Idealweise im Frühjahr und im Herbst, jedoch keinesfalls zwischen Oktober und März, um darin überwinternde Tiere nicht zu gefährden. Beim Auflockern oder Umsetzen des Kompostes ist vorsichtig vorzugehen, um darin enthaltenen Tieren keinen Schaden zuzufügen.",Krautsaum; Steinhaufen; Horizontales Totholz
wildbienen_nisthilfe_aus_lehm,Wildbienen-Nisthilfe aus Lehm,Quartier/Nisthilfe,mind. 15 cm tief,"sonnig, trocken, vor Regen geschützt; Ausrichtung Osten bis Süden","Die Wildbienen-Nisthilfe aus Lehm (ohne vorgebohrte Löcher) ist für Wildbienen-Arten geeignet, die ihre Nester selber graben und keine bereits vorhandenen Hohlräume nutzen. Diese Nisthilfen sind nicht im Handel zu bekommen und müssen selber hergestellt werden. Für die Füllung werden Lehmoberputz (fein 06) und ungewaschener Natursand benötigt. Als Form eignen sich u.a. Tongefäße, Pflanzkübel, Holzkisten oder Rahmen mit einer Mindesttiefe von 15 cm. Der Lehm und der Sand werden im Verhältnis ca. 1:8 (1 Teil Lehmpulver, 8 Teile Sand) vermengt und etwas Wasser hinzugegeben. Es solle eine feuchte, aber noch bröselige Mischung entstehen, die beim Zusammendrücken ihre Form behält. Die Mischung wird nach und nach in ein eine Form gefüllt und dabei immer wieder durch festes Andrücken verdichtet. Zum Trocken werden die Nisthilfen für einige Wochen an einem trockenen, warmen Standort aufgestellt. Die fertigen Nisthilfen werden aufrecht an einer regengeschützten, sonnigen Stelle platziert.","Die fertigen Lehmnisthilfen benötigen keine Pflege und können in der Regel einige Jahre genutzt werden. Sie müssen das ganze Jahr über am selben Standort belassen werden, da die Bienen zum Teil in der Nisthilfe überwintern. Erst wenn das Lehmmaterial vollständig durchlöchert oder zerfallen ist, sollten sie mit neuem Material neu aufgefüllt werden.",
hoehlenkaesten_flugloch_32_34_mm_an_baeumen,Höhlenkästen Flugloch ∅ 32-34 mm an Bäumen,Quartier/Nisthilfe,ca. B14 x H25 x T14 cm,in einer Höhe von ca. 3-10 m,"Es sollten mindestens 5 Kästen in einem Umkreis von max. 50 m mit einem Mindestabstand von 1 m zueinander angebracht werden. Vorzugsweise sind die Nistkästen so anzubringen, dass das Einflugsloch nach O, SO oder Süden zeigt. Bei geschüzter Anbringung ist auch eine Ausrichtung nach N, NW oder W möglich.",Nistkästen sind 1x jährlich im Winter (November-Februar) zu reinigen. Nistmaterial und Kot sind mit einem Spachtel grob zu entfernen. Eine Reinigung mit Wasser oder chemischen Mitteln ist nicht erforderlich.,
hoehlenkaesten_flugloch_32_34_mm_an_fassaden,Höhlenkästen Flugloch ∅ 32-34 mm an Fassaden,Quartier/Nisthilfe,ca. B14 x H25 x T14 cm,in einer Höhe von ca. 3-10 m,"Nistkästen an Gebäudefassaden werden von Haussperlingen gegenüber Nisthilfen an Bäumen bevorzugt. Diese sollten vorzugsweise so plaziert werden, dass Bäume/Sträucher in der näheren Umgebung liegen. Es sollten mindestens 5 Kästen pro Gebäude bzw. in einem Umkreis von max. 50 m mit einem Mindestabstand von 1 m angebracht werden. Mehrfachkästen sind wegen des fehlenden Mindestabstandes nicht zu empfehlen und haben eine schlechtere Besetzungsquote als Einzelkästen. Vorzugsweise sind die Nistkästen so anzubringen, dass das Einflugsloch nach O, SO oder S (bei zumindest teilweiser Beschattung) zeigt. Bei geschüzter Anbringung ist auch eine Ausrichtung nach N, NW oder W möglich.",Nistkästen sind 1x jährlich im Winter (November-Februar) zu reinigen. Nistmaterial und Kot sind mit einem Spachtel grob zu entfernen. Eine Reinigung mit Wasser oder chemischen Mitteln ist nicht erforderlich.,
hoehlenkaesten_flugloch_32_48_mm_an_baeumen,Höhlenkästen Flugloch ∅ 32-48 mm an Bäumen,Quartier/Nisthilfe,ca. B14 x H25 x T14 cm,in einer Höhe von ca. 2-5 m,"Nistkästen mit einem relativ großem Einflugloch werden sowohl von Vogelarten, die einen etwas helleren Brutraum bevorzugen, wie z.B. dem Gartenrotschwanz als auch von größeren Vogelarten, wie z.B. dem Star, genutzt.",Nistkästen sind 1x jährlich im Winter (November-Februar) zu reinigen. Nistmaterial und Kot sind mit einem Spachtel grob zu entfernen. Eine Reinigung mit Wasser oder chemischen Mitteln ist nicht erforderlich.,
hoehlenkaesten_flugloch_oval_30x50_mm_an_baeumen,Höhlenkästen Flugloch oval 30x50 mm an Bäumen,Quartier/Nisthilfe,ca. B14 x H25 x T14 cm oder B20 x H20 x T30 cm,in einer Höhe von ca. 2-5 m,"Nistkästen mit einem, oder zwei ovalen Einflugslöchern werden häufig von Vogelarten bezogen, die einen etwas helleren Brutraum bevorzugen, wie z.B. der Gartenrotschwanz. Auch Nischen- bzw. Halbhöhlenbrüter, wie Hausrotschwanz und Rotkehlchen, nutzen Höhlenkästen mit doppeltem Einflugloch. Die Nistkasten sollten bevorzugt Richtung O, SO oder S ausgerichtet werden. Bei geschützter Lage ist auch eine Anbringung Richtung N oder W möglich.",Nistkästen sind 1x jährlich im Winter (November-Februar) zu reinigen. Nistmaterial und Kot sind mit einem Spachtel grob zu entfernen. Eine Reinigung mit Wasser oder chemischen Mitteln ist nicht erforderlich.,
halbhoehlenkaesten_durchgehender_schlitz_hoehe_50_mm,Halbhöhlenkästen durchgehender Schlitz Höhe 50 mm,Quartier/Nisthilfe,ca. B14 x H16 x T14 cm,in einer Höhe von ca. 2-15 m,"Die Halbhöhlenkästen können frei an Gebäuden, oder in direkter Nähe von Bäumen/Sträuchern und auch in Fassadenbegrünung oder an Bäumen, nicht zu nahe an stark frequentierten Orten (Hauseingang etc.) angebracht werden. Die Öffnung der Kästen sollte in Richtung S, SO, oder O ausgerichtet sein, bei geschützter Anbringung sind auch andere Himmelrichtungen möglich.",Nistkästen sind 1x jährlich im Winter (November-Februar) zu reinigen. Nistmaterial und Kot sind mit einem Spachtel grob zu entfernen. Eine Reinigung mit Wasser oder chemischen Mitteln ist nicht erforderlich.,"insektenfreundliche einheimische blühende Hecken, Bäume und Stauden in unmittelbarer Umgebung"
mauerseglerkaesten_flugloch_50_mm,Mauerseglerkästen Flugloch ∅ 50 mm,Quartier/Nisthilfe,ca. B28 x H11 x T17 cm,in mind. 6 m Höhe,"Mauerseglerkästen sollten frei an der Fassade, möglichst in Dachnähe und/oder an Ecken (nicht mittig auf Fassade) angebracht werden. Für die Anbringung sollten möglichst Gebäude gewählt werden, die aus der übrigen Bebauung herausragen. Der Anflug darf nicht von Bäumen oder anderen Strukturen (im Umkreis von mind. 10m) verdeckt werden. Es sollten mind. 2-5 Kästen pro Fassade angebracht werden. Eine Mindesttiefe des Kastens von 14cm sollte keinesfalls unterschritten werden, eine Tiefe von 20 cm ist zu empfehlen.","Mauerseglerkästen sind in der Regel wartungsfrei, da Mauersegler kein Nistmaterial in die Kästen eintragen. Es ist jedoch empfehlenswert, diese im Abstand von ca. 5-6 Jahren, z.B. bei Fassaden-Instanthaltungsmaßnahmen, zu kontrollieren und bei Bedarf zu reinigen. Werden die Nistkästen von anderen Vogelarten, z.B. Haussperling genutzt, sollten diese, wenn zugänglich, 1mal im Jahr im Winter gereinigt werden. Nistmaterial und Kot sind mit einem Spachtel grob zu entfernen. Eine Reinigung mit Wasser oder chemischen Mitteln ist nicht erforderlich.",
mauerseglerkaesten_flugloch_queroval_40x60_mm,Mauerseglerkästen Flugloch queroval 40x60 mm,Quartier/Nisthilfe,ca. B28 x H11 x T17 cm,in mind. 6 m Höhe,"Mauerseglerkästen sollten frei an der Fassade, möglichst in Dachnähe und/oder an Ecken (nicht mittig auf Fassade) angebracht werden. Für die Anbringung sollten möglichst Gebäude gewählt werden, die aus der übrigen Bebauung herausragen. Der Anflug darf nicht von Bäumen oder anderen Strukturen (im Umkreis von mind. 10m) verdeckt werden. Es sollten mind. 2-5 Kästen pro Fassade angebracht werden. Eine Mindesttiefe des Kastens von 14cm sollte keinesfalls unterschritten werden, eine Tiefe von 20 cm ist zu empfehlen.","Mauerseglerkästen sind in der Regel wartungsfrei, da Mauersegler kein Nistmaterial in die Kästen eintragen. Es ist jedoch empfehlenswert, diese im Abstand von ca. 5-6 Jahren, z.B. bei Fassaden-Instanthaltungsmaßnahmen, zu kontrollieren und bei Bedarf zu reinigen. Werden die Nistkästen von anderen Vogelarten, z.B. Haussperling genutzt, sollten diese, wenn zugänglich, 1mal im Jahr im Winter gereinigt werden. Nistmaterial und Kot sind mit einem Spachtel grob zu entfernen. Eine Reinigung mit Wasser oder chemischen Mitteln ist nicht erforderlich.",
